Time,R Scale 1,R Scale 2,G Speed,SV,Longitude,Latitude,raw1,raw2,raw3,raw4
14:08:45.856,78,56,0,10,120.6862869,24.3187466,3097070,0,1288894,0
14:08:45.906,78,56,0,10,120.6862869,24.3187466,3093056,0,1288908,0
14:08:46.004,78,56,0,10,120.6862869,24.3187466,3095551,0,1287828,0
14:08:46.106,78,56,0,11,120.6862869,24.3187466,3095551,0,1287828,0
14:08:46.204,78,56,0,11,120.6862869,24.3187466,3093903,0,1287929,0
14:08:46.309,78,56,0,11,120.6862869,24.3187466,3091690,0,1289054,0
14:08:46.460,78,56,0,11,120.6862869,24.3187466,3093242,0,1289112,0
14:08:46.511,78,56,0,11,120.6862869,24.3187466,3092002,0,1289507,0
14:08:46.647,78,56,0,10,120.6862869,24.3187466,3088657,0,1288250,0
14:08:46.712,78,56,0,10,120.6862869,24.3187466,3085457,0,1291970,0
14:08:46.811,78,57,0,10,120.6862869,24.3187466,3088749,0,1311016,0
14:08:46.914,78,57,0,11,120.6862869,24.3187466,3088749,0,1311016,0
14:08:47.011,78,59,0,11,120.6862869,24.3187466,3087804,0,1356079,0
14:08:47.103,78,61,0,11,120.6862869,24.3187447,3090414,0,1393647,0
14:08:47.201,78,62,0,11,120.6862869,24.3187447,3090603,0,1425051,0
14:08:47.311,78,63,0,11,120.6862869,24.3187447,3089250,0,1447094,0
14:08:47.411,77,64,0,11,120.6862869,24.3187447,3084000,0,1457879,0
14:08:47.516,77,64,0,11,120.6862869,24.3187447,3084000,0,1457879,0
14:08:47.669,78,56,0,11,120.6862869,24.3187447,3091271,0,1295130,0
14:08:47.703,78,56,0,11,120.6862869,24.3187447,3091271,0,1295130,0
14:08:47.803,78,56,0,11,120.6862869,24.3187447,3094001,0,1295866,0
14:08:47.931,78,58,0,11,120.6862869,24.3187447,3088356,0,1322999,0
14:08:48.065,78,58,0,11,120.6862869,24.3187447,3088004,0,1331981,0
14:08:48.115,78,58,0,11,120.6862869,24.3187447,3088004,0,1331981,0
14:08:48.265,77,58,0,11,120.6862869,24.3187447,3078605,0,1331029,0
14:08:48.315,78,58,0,11,120.6862869,24.3187447,3091641,0,1327224,0
14:08:48.424,77,57,0,11,120.6862869,24.3187447,3084623,0,1302448,0
14:08:48.506,78,55,0,11,120.6862869,24.3187447,3087723,0,1254209,0
14:08:48.676,78,53,0,11,120.6862869,24.3187428,3091373,0,1223545,0
14:08:48.709,78,53,0,11,120.6862869,24.3187428,3085548,0,1217628,0
14:08:48.836,77,53,0,10,120.6862869,24.3187428,3076367,0,1216235,0
14:08:48.901,78,53,0,10,120.6862869,24.3187428,3094327,0,1213661,0
14:08:49.071,77,53,0,10,120.6862869,24.3187447,3081922,0,1209069,0
14:08:49.105,77,53,0,10,120.6862869,24.3187447,3081922,0,1209069,0
14:08:49.205,77,51,0,10,120.6862869,24.3187447,3074287,0,1172096,0
14:08:49.315,77,51,0,10,120.6862869,24.3187447,3074287,0,1172096,0
14:08:49.468,78,51,0,10,120.6862869,24.3187447,3094362,0,1171275,0
14:08:49.501,77,51,0,10,120.6862869,24.3187447,3080717,0,1170226,0
14:08:49.644,78,51,0,10,120.6862869,24.3187447,3089587,0,1170523,0
14:08:49.700,78,51,0,10,120.6862869,24.3187447,3089587,0,1170523,0
14:08:49.881,78,50,0,11,120.6862869,24.3187447,3085972,0,1162907,0
14:08:49.914,78,50,0,11,120.6862869,24.3187447,3085972,0,1162907,0
14:08:50.065,78,50,0,10,120.6862869,24.3187447,3085874,0,1156052,0
14:08:50.115,78,50,0,10,120.6862869,24.3187447,3088879,0,1153225,0
14:08:50.243,78,50,0,10,120.6862869,24.3187447,3094968,0,1153000,0
14:08:50.309,78,50,0,10,120.6862869,24.3187447,3089800,0,1151772,0
14:08:50.461,77,50,0,10,120.6862869,24.3187447,3081247,0,1151460,0
14:08:50.510,77,50,0,10,120.6862869,24.3187447,3081424,0,1151181,0
14:08:50.663,78,50,0,10,120.6862869,24.3187447,3089966,0,1151639,0
14:08:50.713,77,50,0,10,120.6862869,24.3187447,3081979,0,1152255,0
14:08:50.811,78,50,0,10,120.6862869,24.3187447,3093128,0,1151559,0
14:08:50.913,78,50,0,10,120.6862869,24.3187447,3093128,0,1151559,0
14:08:51.067,78,50,0,10,120.6862869,24.3187447,3089759,0,1152909,0
14:08:51.100,78,50,0,10,120.6862869,24.3187447,3092207,0,1152637,0
14:08:51.274,78,50,0,10,120.6862869,24.3187447,3085836,0,1152287,0
14:08:51.307,78,50,0,10,120.6862869,24.3187447,3085836,0,1152287,0
14:08:51.424,77,50,0,10,120.6862869,24.3187447,3084655,0,1152734,0
14:08:51.512,77,50,0,10,120.6862869,24.3187447,3084655,0,1152734,0
14:08:51.666,77,50,0,10,120.6862869,24.3187447,3081912,0,1152499,0
14:08:51.715,78,50,0,10,120.6862869,24.3187447,3089469,0,1152081,0
14:08:51.850,78,50,0,10,120.6862869,24.3187447,3089982,0,1151930,0
14:08:51.909,78,50,0,10,120.6862869,24.3187447,3091896,0,1151529,0
14:08:52.061,78,50,0,10,120.6862869,24.3187447,3086466,0,1151701,0
14:08:52.111,78,50,0,10,120.6862869,24.3187447,3091806,0,1152908,0
14:08:52.296,78,50,0,10,120.6862869,24.3187447,3091510,0,1152174,0
14:08:52.313,78,50,0,10,120.6862869,24.3187447,3091510,0,1152174,0
14:08:52.466,77,50,0,10,120.6862869,24.3187447,3079433,0,1152206,0
14:08:52.515,78,50,0,10,120.6862869,24.3187447,3086962,0,1151886,0
14:08:52.675,78,50,0,10,120.6862869,24.3187447,3088762,0,1152037,0
14:08:52.709,78,50,0,10,120.6862869,24.3187447,3088762,0,1152037,0
14:08:52.839,78,50,0,10,120.6862869,24.3187447,3089386,0,1151934,0
14:08:52.908,78,50,0,10,120.6862869,24.3187447,3089386,0,1151934,0
14:08:53.084,77,50,0,10,120.6862869,24.3187447,3080384,0,1151962,0
14:08:53.101,77,50,0,10,120.6862869,24.3187447,3080384,0,1151962,0
14:08:53.231,78,50,0,10,120.6862869,24.3187447,3093965,0,1152441,0
14:08:53.314,77,50,0,10,120.6862869,24.3187447,3079207,0,1152203,0
14:08:53.450,78,50,0,10,120.6862869,24.3187447,3093031,0,1152064,0
14:08:53.500,78,50,0,10,120.6862869,24.3187447,3092829,0,1151139,0
14:08:53.652,78,50,0,10,120.6862869,24.3187447,3091925,0,1152056,0
14:08:53.701,78,50,0,10,120.6862869,24.3187447,3091925,0,1152056,0
14:08:53.800,77,50,0,10,120.6862869,24.3187447,3072169,0,1151496,0
14:08:53.905,78,50,0,10,120.6862869,24.3187447,3091650,0,1151920,0
14:08:54.039,78,50,0,10,120.6862869,24.3187428,3091064,0,1151550,0
14:08:54.105,77,50,0,10,120.6862869,24.3187428,3075626,0,1152357,0
14:08:54.263,78,50,0,10,120.6862869,24.3187428,3088252,0,1151593,0
14:08:54.313,78,50,0,10,120.6862869,24.3187428,3089213,0,1151818,0
14:08:54.445,77,50,0,10,120.6862869,24.3187428,3084229,0,1150770,0
14:08:54.511,77,50,0,10,120.6862869,24.3187428,3082960,0,1151721,0
14:08:54.628,77,50,0,10,120.6862869,24.3187428,3070820,0,1150946,0
14:08:54.700,77,50,0,10,120.6862869,24.3187428,3070820,0,1150946,0
14:08:54.843,77,50,0,10,120.6862869,24.3187428,3083796,0,1151062,0
14:08:54.909,77,50,0,10,120.6862869,24.3187428,3083796,0,1151062,0
14:08:55.060,78,50,0,11,120.6862869,24.3187428,3088802,0,1151000,0
14:08:55.110,78,50,0,11,120.6862869,24.3187428,3088802,0,1151000,0
14:08:55.280,78,50,0,11,120.6862869,24.3187428,3086103,0,1150832,0
14:08:55.314,78,50,0,11,120.6862869,24.3187428,3090416,0,1151156,0
14:08:55.446,78,50,0,11,120.6862869,24.3187428,3086048,0,1151453,0
14:08:55.511,78,50,0,11,120.6862869,24.3187428,3094473,0,1151112,0
14:08:55.664,78,50,0,11,120.6862869,24.3187428,3087850,0,1151069,0
14:08:55.714,78,50,0,11,120.6862869,24.3187428,3087850,0,1151069,0
14:08:55.871,78,50,0,10,120.6862869,24.3187428,3090519,0,1151237,0
14:08:55.904,78,50,0,10,120.6862869,24.3187428,3090519,0,1151237,0
14:08:56.052,78,50,0,10,120.6862869,24.3187428,3092129,0,1151284,0
14:08:56.101,78,50,0,10,120.6862869,24.3187428,3085123,0,1151091,0
14:08:56.215,77,50,0,11,120.6862869,24.3187428,3079985,0,1151450,0
14:08:56.314,78,50,0,11,120.6862869,24.3187428,3085386,0,1151544,0
14:08:56.443,78,50,0,11,120.6862869,24.3187428,3094065,0,1151592,0
14:08:56.510,78,50,0,11,120.6862869,24.3187428,3097460,0,1150907,0
14:08:56.641,78,50,0,11,120.6862869,24.3187428,3096175,0,1151010,0
14:08:56.708,78,50,0,11,120.6862869,24.3187428,3092011,0,1150904,0
14:08:56.875,78,50,0,11,120.6862869,24.3187408,3092329,0,1151253,0
14:08:56.909,78,50,0,11,120.6862869,24.3187408,3092329,0,1151253,0
14:08:57.035,78,50,0,11,120.6862869,24.3187408,3093150,0,1151438,0
14:08:57.101,77,50,0,11,120.6862869,24.3187408,3082438,0,1151121,0
14:08:57.234,78,50,0,11,120.6862869,24.3187408,3089384,0,1151216,0
14:08:57.315,77,50,0,11,120.6862869,24.3187408,3077581,0,1150845,0
14:08:57.450,78,50,0,11,120.6862869,24.3187408,3092408,0,1150711,0
14:08:57.501,78,50,0,11,120.6862869,24.3187408,3090757,0,1150771,0
14:08:57.633,78,50,0,11,120.6862869,24.3187408,3089673,0,1150809,0
14:08:57.715,78,50,0,11,120.6862869,24.3187408,3089405,0,1150794,0
14:08:57.849,77,50,0,11,120.6862869,24.3187408,3081220,0,1151423,0
14:08:57.907,78,50,0,11,120.6862869,24.3187408,3095332,0,1151741,0
14:08:58.064,78,50,0,10,120.6862869,24.3187408,3090969,0,1150422,0
14:08:58.115,78,50,0,10,120.6862869,24.3187408,3090969,0,1150422,0
14:08:58.255,78,50,0,10,120.6862869,24.3187389,3097974,0,1152229,0
14:08:58.305,77,50,0,10,120.6862869,24.3187389,3080715,0,1152157,0
14:08:58.450,78,50,0,10,120.6862869,24.3187389,3088738,0,1151987,0
14:08:58.515,78,50,0,10,120.6862869,24.3187389,3095321,0,1151881,0
14:08:58.655,78,50,0,10,120.6862869,24.3187389,3091513,0,1150927,0
14:08:58.705,78,50,0,10,120.6862869,24.3187389,3092034,0,1151683,0
14:08:58.833,78,50,0,10,120.6862869,24.3187389,3093029,0,1151467,0
14:08:58.915,78,50,0,10,120.6862869,24.3187389,3087135,0,1151604,0
14:08:59.027,78,50,0,10,120.6862869,24.3187389,3093019,0,1151904,0
